Original,Closest Match,Similarity Ratio
Hard Reset,Hard West,0.84
Hard Reset Exile DLC,Hard Reset Redux,0.67
Hector Ep 2,Sector 724,0.67
Hector Ep 3,Vector 36,0.7
Jurassic Park The Game,Paperback: The Game,0.63
Kane   Lynch Dead Men,Kane and Lynch: Dead Men™,0.87
Magicka Final Frontier,Majula Frontier,0.65
Magicka Frozen Lake,Magical Monster Land,0.56
Magicka Nippon,Magic Nations,0.74
Magicka Party Robes,Magic Nations,0.56
Magicka The Watchtower,Marvin The Hatter,0.67
Magicka Wizard s Survival Kit,,0.0
Men of War Condemned Heroes,Men of War: Condemned Heroes,0.98
Nikopol Secrets of the Immortals,Blight of the Immortals,0.69
Numen Contest of Heroes,Numen: Contest of Heroes,0.98
Patch testing for Chivalry,,0.0
Pid ,Pid,0.86
Pressure,Pressured,0.94
Red Orchestra 2 Heroes of Stalingrad   Single Player,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,0.8
Rising Storm Red Orchestra 2 Multiplayer,,0.0
Secret Files Tunguska,Secret Files: Tunguska,0.98
Sideway,Sinewave,0.67
Sid Meier s Civilization IV Beyond the Sword,Civilization IV: Beyond the Sword,0.83
Sid Meier s Civilization IV Warlords,Sid Meier's Civilization® IV,0.81
Sniper Ghost Warrior,Sniper: Ghost Warrior,0.98
Sniper Elite V2,Sniper Elite 4,0.9
State of Decay   Breakdown,State of Decay: YOSE,0.65
STORM Frontline Nation,,0.0
The Book of Unwritten Tales The Critter Chronicles,The Book of Unwritten Tales: The Critter Chronicles,0.99
The Chronicles of Riddick Assault on Dark Athena,The Chronicles of Jonah and the Whale,0.64
The Dead Linger,The Ballad Singer,0.75
The Dream Machine,The Cat Machine,0.81
The Dream Machine Chapter 3,The Dream Machine: Chapter 1 & 2,0.88
The Dream Machine Chapter 4,The Dream Machine: Chapter 1 & 2,0.88
The Dream Machine Chapter 5,The Dream Machine: Chapter 1 & 2,0.88
The Maw Brute Force,The Master,0.62
The Maw River Redirect,,0.0
The Novelist,The Nest,0.8
The Raven   Legacy of a Master Thief,The Legacy of Music,0.62
The Whispered World,The Inner World,0.71
Tomb Raider  VI  The Angel of Darkness,Tomb Raider VI: The Angel of Darkness,0.96
Tomb Raider Anniversary,Tomb Raider: Anniversary,0.98
Tomb Raider Chronicles,Tomb Raider V: Chronicles,0.94
Tomb Raider Legend,Tomb Raider: Legend,0.97
Tomb Raider The Last Revelation,Tomb Raider IV: The Last Revelation,0.94
Tomb Raider Underworld,Tomb Raider: Underworld,0.98
Tomb Raider III Adventures of Lara Croft,,0.0
Tom Clancy s Splinter Cell Conviction,Tom Clancy's Splinter Cell®,0.78
Valdis Story Abyssal City,Valdis Story: Abyssal City,0.98
Vampire The Masquerade   Bloodlines,Vampire: The Masquerade - Bloodlines,0.96
Wolfenstein,Wolfenstein 3D,0.88
The Sims TM  3,The Sims™ 3,0.8
H1Z1,,0.0
EasyAntiCheat eSports,Easy™ eSports,0.71
Commandos 3 Destination Berlin,Commandos 3: Destination Berlin,0.98
Age of Chivalry,Age of Rivals,0.79
Battlefield Bad Company 2 Vietnam,Battlefield: Bad Company™ 2,0.83
H1Z1 Test Server,The Last Sorcerer,0.55
Uncrowded,Unroaded,0.82
Aftermath,Aftermath Y2K,0.82
Happy Wars,Happy Campers,0.78
School of Dragons How to Train Your Dragon,,0.0
Bad Rats,Bad Rats Show,0.76
World of Guns Gun Disassembly,World of Guns: Gun Disassembly,0.98
Quake Live,Quake Live™,0.95
Fractured Space,Fractured State,0.87
Ragnarok,Farragnarok,0.74
Ragnarok Online 2,Garlock Online,0.71
Tribes Ascend,Tribes: Ascend,0.96
Black Fire,Black Forest,0.82
Kung Fury,Run Fairy,0.67
Mortal Kombat Komplete Edition,Major\Minor - Complete Edition,0.67
Call of Duty Advanced Warfare,Call of Duty®: Advanced Warfare - Gold Edition,0.77
Call of Duty Advanced Warfare   Multiplayer,Call of Duty®: Advanced Warfare - Gold Edition,0.76
Ascend Hand of Kul,A Handful of Keflings,0.62
Blender 2 76b,Beholder 2,0.61
Solstice Arena,Stick Arena,0.8
GunZ 2 The Second Duel,GunZ 2: The Second Duel,0.98
Napoleon Total War,Elemental War,0.65
Pyroblazer,Pyroblazer®,0.95
Aion,Xion,0.75
Arma 3 Zeus,Arma 3,0.71
This War of Mine   War Child Charity DLC,,0.0
La Tale,Last Tale,0.88
Amazing World,Rain World,0.78
Hazard Ops,Hired Ops,0.74
Blacklight Retribution,Quantum Retribution,0.68
Eternal Fate,Eternal Step,0.83
Darkest Hour Europe  44  45,,0.0
Gun Monkeys,Gun Done,0.74
Mare Nostrum,Mare Nostrvm,0.92
Pirates of Black Cove Gold,,0.0
Red Orchestra Ostfront 41 45,Red Orchestra: Ostfront 41-45,0.95
Dizzel,Dive,0.6
R U S E,L U N E,0.71
Total War ROME II   Emperor Edition,Total War™: ROME II - Emperor Edition,0.94
Stronghold 3,Stronghold HD,0.88
R U S E ,L U N E,0.67
Anomaly Warzone Earth,Anomaly: Warzone Earth,0.98
XCOM Enemy Unknown,XCOM: Enemy Unknown,0.97
Free to Play,Freedom Planet,0.69
Dirty Bomb,Dirty Bomb®,0.95
Starbound   Unstable,Starbound,0.62
Piercing Blow,Crushing Blow,0.69
UberStrike,Ember Strike,0.82
Marvel Puzzle Quest,MARVEL Puzzle Quest,0.74
NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,0.96
Don t Starve,Don't Starve Together,0.67
Batman Arkham City,Batman™: Arkham Knight,0.8
The Sims TM  Medieval,,0.0
DC Universe Online,DC Universe™ Online,0.97
Don t Starve Together Beta,Don't Starve Together,0.85
Command and Conquer 4 Tiberian Twilight,Command & Conquer 4: Tiberian Twilight,0.94
Anno 2070,Anno 2070™,0.95
Chessmaster,Chesster,0.84
Transformers Fall of Cybertron,,0.0
Might   Magic Heroes VI,Might & Magic® Heroes® VII,0.9
Warhammer 40 000 Dawn of War II,"Warhammer 40,000: Dawn of War II",0.95
Dungeon Siege 2,Dungeon Siege,0.93
Warhammer 40 000 Space Marine,"Warhammer 40,000: Space Marine",0.95
The Polynomial,The Initial,0.64
Halo Spartan Assault,Halo: Spartan Assault,0.98
Tom Clancy s H A W X  2,Tom Clancy's EndWar™,0.6
Warhammer 40 000 Dawn of War II  Retribution,"Warhammer® 40,000: Dawn of War® II Chaos Rising",0.79
Alpha Protocol,Alpha Protocol™,0.97
BioShock Infinite   Season Pass,BioShock Infinite,0.71
BioShock Infinite Burial at Sea   Episode 1,Infinite Game Works Episode 1,0.56
BioShock Infinite Burial at Sea   Episode 2,,0.0
Crysis Warhead,Crysis Warhead®,0.97
Crysis Wars,Crysis Warhead®,0.77
Darkspore,Darkstone,0.78
Deus Ex Human Revolution   The Missing Link,Deus Ex: Human Revolution - Director's Cut,0.64
Don t Starve Reign of Giants,,0.0
Dungeon Siege III,Dungeon Siege II,0.97
Grand Theft Auto San Andreas,Grand Theft Auto: San Andreas,0.98
Grand Theft Auto Vice City,Grand Theft Auto: Vice City,0.98
Need for Speed SHIFT,Need for Speed: Shift,0.78
Overlord,Overlord™,0.94
Overlord Raising Hell,Overlord™: Raising Hell,0.95
Perimeter 2 New Earth,Perimeter 2: New Earth,0.98
The Walking Dead Season Two,The Walking Vegetables,0.65
Tom Clancy s Ghost Recon Advanced Warfighter 2,Tom Clancy's Ghost Recon® Desert Siege™,0.66
Two Worlds 2   Pirates of the Flying Fortress ,,0.0
Two Worlds II,Two Worlds II HD,0.9
Warhammer 40 000 Dawn of War II   Chaos Rising,"Warhammer® 40,000: Dawn of War® II Chaos Rising",0.92
Call of Duty Black Ops II   Multiplayer,Call of Duty®: Black Ops II,0.76
Call of Duty Black Ops II,Call of Duty®: Black Ops II,0.96
Call of Duty Black Ops II   Zombies,Call of Duty®: Black Ops II,0.81
Medieval II Total War,Medieval II: Total War™ Kingdoms,0.79
MechWarrior Online,MechWarrior Online™ Solaris 7,0.77
HAWKEN,TAKEN,0.73
Startopia,StartBolita,0.8
Call of Duty Modern Warfare 3   Multiplayer,Call of Duty®: Modern Warfare® 2,0.75
Call of Duty Modern Warfare 3,Call of Duty®: Modern Warfare® 2,0.92
Sins of a Solar Empire Trinity,Sins of a Solar Empire: Trinity®,0.97
Battlefield 2,Board Battlefield,0.73
Men of War,Men of War™,0.95
Wargame Red Dragon,Wargame: Red Dragon,0.97
Wargame European Escalation,Wargame: European Escalation,0.98
Insurgency Modern Infantry Combat,,0.0
Men of War Assault Squad 2,Men of War: Assault Squad 2,0.98
Command and Conquer Red Alert 3,Command & Conquer: Red Alert 3,0.92
Full Spectrum Warrior Ten Hammers,Full Spectrum Warrior: Ten Hammers,0.99
The Ship Single Player,Poker World - Single Player,0.65
The Ship Tutorial,The Spatials,0.69
The Ship,Thrusty Ship,0.7
COH2   The Western Front Armies Oberkommando West,,0.0
COH2   The Western Front Armies US Forces,On The Western Front,0.62
Company of Heroes 2   Ardennes Assault,Company of Heroes 2,0.67
Magicka Holiday Spirit Item Pack ,,0.0
Men of War Assault Squad,Men of War: Assault Squad,0.98
Men of War Red Tide,Men of War: Red Tide,0.97
Men of War Vietnam,Men of War: Vietnam,0.97
Mount   Blade Warband   Napoleonic Wars,Mount & Blade: Warband,0.66
Omerta   City of Gangsters The Bulgarian Colossus,Omerta - City of Gangsters,0.67
Omerta   Damsel in Distress,,0.0
Omerta   The Con Artist,The Artist,0.61
Omerta   The Japanese Incentive,,0.0
Red Crucible Firestorm,Red Crucible®: Firestorm,0.96
XCOM Enemy Within,XCOM: Enemy Unknown,0.67
Life Is Strange,Life is Strange 2,0.88
Section 8,Seduction 誘惑,0.76
Lost Saga North America,Lost Saga NA,0.69
Risen 2   Dark Waters,Risen 2: Dark Waters,0.93
Spooky s House of Jump Scares,Spooky's Jump Scare Mansion,0.68
Primal Carnage Extinction,Primal Carnage: Extinction,0.98
Warhammer 40 000 Dawn of War  Dark Crusade,"Warhammer® 40,000: Dawn of War® - Dark Crusade",0.93
Warhammer 40 000 Dawn of War  Winter Assault,"Warhammer® 40,000: Dawn of War® – Winter Assault",0.93
Knights of Pen and Paper  1,Knights of Pen and Paper 2,0.94
Smashball,Smackitball,0.7
Wind of Luck Arena,Mini Golf Arena,0.67
Firefall,Freefall,0.88
Let the Cat In,Let the Cat in,0.93
Echoes ,Echoes World,0.74
Cakewalk Loop Manager,,0.0
Chaos Heroes Online,Colonies Online,0.71
FreeStyle2 Street Basketball,Freestyle 2: Street Basketball,0.93
Football Manager 2013,Football Manager 2019,0.95
Synergy,,0.0
Break Into Zatwor,Breaking Fast,0.47
A V A   Alliance of Valiant Arms,,0.0
Age of Empires Online,Age of Empires II HD,0.73
Arcane Saga Online,Sacred Saga Online,0.78
Arctic Combat,Air Combat,0.78
Arma 2 Free,Arma 2,0.71
Atlantica Online,Antaria Online,0.8
Brawl Busters,Brain Booster,0.69
Bullet Run,Bullet VR,0.84
C9,,0.0
Construct 2 Free,Constructor,0.74
CrimeCraft GangWars,,0.0
District 187,The District,0.67
Dragon Nest,9Dragons,0.74
Dungeonland,Dungeonmans,0.82
Dungeon Party,Dungeon-Party,0.92
Dwarfs F2P,Dwarfs - F2P,0.91
EverQuest Free to Play,War Machines: Free to Play,0.67
EVGA PrecisionX 16,EVGA Precision XOC,0.83
F E A R  Online,Azusa RP Online,0.67
Face of Mankind,State of Mind,0.71
Fiesta Online,Islet Online,0.72
Fiesta Online NA,Colonies Online,0.65
Football Superstars,'90s Football Stars,0.74
Forsaken World ,Fake World VR,0.79
Frontline Tactics,Ironclad Tactics,0.73
Grand Chase,Grave Chase,0.82
HOMEFRONT Demo,HOMEBOUND,0.61
Mabinogi,Malebolgia,0.67
Magic The Gathering  Tactics,,0.0
March of War,Path of War,0.78
MicroVolts Surge,,0.0
Moon Breakers,Ground Breakers,0.79
NEOTOKYO,NEKOKORO,0.62
Pandora Saga Weapons of Balance,,0.0
Quantum Rush Online,Quantum Rush Champions,0.68
Reversion   The Escape,Reversion - The Escape (1st Chapter),0.72
Rise of Incarnates,Riders of Icarus,0.71
ROSE Online,EVE Online,0.76
Rusty Hearts,Lucent Heart,0.67
Saira,Stairs,0.73
Shadow Warrior Classic  1997 ,Shadow Warrior Classic Redux,0.81
Sunrider Mask of Arcadius,Sunrider: Mask of Arcadius,0.98
Super Monday Night Combat,Monday Night Combat,0.86
The Banner Saga Factions,The Banner Saga: Factions,0.98
The Lord of the Rings Online,The Lord of the Rings Online™,0.98
Thinking with Time Machine,Ghost in the Machine,0.65
World of Battles,World of Castles,0.88
Xam,,0.0
Mount   Blade With Fire and Sword,Mount & Blade: With Fire & Sword,0.89
Assassin s Creed Revelations,Assassin's Creed® Revelations,0.95
Medieval II Total War Kingdoms,Medieval II: Total War™ Kingdoms,0.97
Mount   Blade Warband   Viking Conquest Reforged Edition,,0.0
LEGO Batman 3 Beyond Gotham,LEGO® Batman™ 3: Beyond Gotham,0.95
LEGO Batman 2,,0.0
LEGO The Hobbit,Arlo The Rabbit,0.6
Teenage Mutant Ninja Turtles Out of the Shadows,,0.0
LEGO Jurassic World,LEGO® Jurassic World,0.97
Lego Star Wars 3 The Clone Wars,LEGO® Star Wars™ III - The Clone Wars™,0.78
Castlevania Lords of Shadow   Ultimate Edition,Castlevania: Lords of Shadow – Ultimate Edition,0.97
Magic 2014 ,Magicka 2,0.7
Gotham City Impostors,Gotham City Impostors Free to Play,0.76
SONIC THE HEDGEHOG 4 Episode II,,0.0
SONIC THE HEDGEHOG 4 Episode I,,0.0
Sonic Adventure DX,Sonic Adventure 2,0.91
Sonic and SEGA All Stars Racing,Sonic & SEGA All-Stars Racing,0.9
Batman Arkham Origins   Infinite Earths Skins Pack,,0.0
Batman Arkham Origins   Initiation,Batman™: Arkham Origins,0.74
Mortal Kombat Legacy   Ep  3 Johnny Cage,,0.0
Mortal Kombat Legacy   Ep  4 Kitana   Mileena  Part 1 ,,0.0
Mortal Kombat Legacy   Ep  5 Kitana   Mileena  Part 2 ,,0.0
Mortal Kombat Legacy   Ep  6 Raiden,,0.0
Mortal Kombat Legacy   Ep  7 Scorpion and Sub Zero  Part 1 ,,0.0
Mortal Kombat Legacy   Ep  8 Scorpion and Sub Zero  Part 2 ,,0.0
Mortal Kombat Legacy   Ep  9 Cyrax   Sektor,,0.0
BloodRealm Battlegrounds,Detrita Battlegrounds,0.71
Dishonored  RU ,Dishonored 2,0.81
Total War ATTILA,Total War: ATTILA,0.97
Endless Legend,Endless Legend™,0.97
Franchise Hockey Manager 2014,Franchise Hockey Manager 4,0.95
Dark Messiah of Might   Magic Single Player,Dark Messiah of Might & Magic,0.78
Game of Thrones   A Telltale Games Series,Batman - The Telltale Series,0.67
RISK Factions,RISK™: Factions,0.93
Supreme Commander Forged Alliance,Supreme Commander: Forged Alliance,0.99
Wasteland 2 Director s Cut,Wasteland 2: Director's Cut,0.94
Valiant Hearts The Great War   Soldats Inconnus  Mmoires de la Grande Guerre,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,0.96
Wargame AirLand Battle,Wargame: Airland Battle,0.93
Planetary Annihilation,Planetary Annihilation: TITANS,0.85
Among the Sleep,Among the Dead,0.76
SiN Episodes Emergence,SiN Episodes: Emergence,0.98
3DMark,3DMark 11,0.8
Out of the Park Baseball 15,Out of the Park Baseball 19,0.96
DOOM 3 Resurrection of Evil,Doll of Resurrection,0.64
3DMark API Overhead feature test,,0.0
3DMark Cloud Gate benchmark,,0.0
3DMark Fire Strike benchmark,,0.0
3DMark Ice Storm benchmark,,0.0
3DMark Sky Diver benchmark,,0.0
Dark Messiah of Might   Magic Multi Player,Dark Messiah of Might & Magic,0.79
HAWKEN   Mercenary Bundle,,0.0
Outlast Whistleblower DLC,,0.0
Sid Meier s Civilization V Brave New World,Sid Meier's Civilization® V,0.72
SiN,SiNKR,0.75
SiN Multiplayer,Stratego® Multiplayer,0.72
Sins of a Solar Empire Rebellion   Stellar Phenomena DLC,Sins of a Solar Empire: Rebellion®,0.71
Sins of a Solar Empire Rebellion Forbidden Worlds,Sins of a Solar Empire: Rebellion®,0.77
State of Decay   Lifeline,State of Decay: YOSE,0.67
Ticket to Ride   Legendary Asia,Ticket to Ride,0.62
Ticket to Ride   Switzerland,Ticket to Ride,0.67
Total War SHOGUN 2   Fall of the Samurai,,0.0
Wasteland 2,Wasteland Angel,0.77
Navy Field 2  Conqueror of the Ocean,Navy Field 2 : Conqueror of the Ocean,0.99
Sniper Ghost Warrior 2,Sniper: Ghost Warrior 2,0.98
Sid Meier s Civilization Beyond Earth,Sid Meier's Civilization®: Beyond Earth™,0.94
Arma 3 Helicopters,Take On Helicopters,0.76
Arma 3 Karts,Arma Tactics,0.67
Arma 3 Marksmen,Army Men,0.61
Euro Truck Simulator 2   Going East ,Euro Truck Simulator 2,0.76
RADical ROACH Deluxe Edition,American Angst (Steam Deluxe Edition),0.65
Sniper Ghost Warrior 2 Multiplayer Expansion Pack,Sniper: Ghost Warrior 2,0.61
The Mighty Quest For Epic Loot,,0.0
Skyrim Script Extender  SKSE ,,0.0
Fallout,Fallout 4,0.88
Thief Deadly Shadows,Thief: Deadly Shadows,0.98
Thief 2,Thief,0.83
Soldier Front 2,Soldiers Of Freedom,0.65
Magicka Wizard Wars,Magical Star Pillars,0.67
Fable III,Rogue Fable III,0.75
Robin Hood,Robin,0.67
Desperados   Wanted Dead or Alive,Desperados: Wanted Dead or Alive,0.95
Oddworld Abe s Exoddus,Oddworld: Abe's Exoddus®,0.91
Anno 1404 Venice,,0.0
ShareX,Share,0.91
Commandos 2 Men of Courage,Commandos 2: Men of Courage,0.98
Anno 1404,Anno 2205™,0.63
Fuse,Fused,0.89
Dynasty Warriors 8   Empires,,0.0
RollerCoaster Tycoon Deluxe,RollerCoaster Tycoon®: Deluxe,0.96
Football Manager 2011,Football Manager 2019,0.95
King Arthur II   The Role playing Wargame,King Arthur II: The Role-Playing Wargame,0.91
Lords Of The Fallen,Lords Of The Fallen™,0.97
Mars War Logs,Mars: War Logs,0.96
Call of Duty Ghosts,Call of Duty®: Ghosts,0.95
Aliens Colonial Marines,Colonial Conquest,0.6
Viking Battle for Asgard,Viking: Battle for Asgard,0.98
Lost Planet Extreme Condition,Lost Planet™: Extreme Condition,0.97
Call of Duty Ghosts   Multiplayer,Call of Duty®: Ghosts,0.7
Warhammer 40 000 Storm of Vengeance Deathwing Terminator,,0.0
Pirates  Vikings    Knights II,"Pirates, Vikings, and Knights II",0.87
Call of Duty Black Ops III,Call of Duty®: Black Ops III,0.96
Double Action Boogaloo,Double Action: Boogaloo,0.98
Trials Fusion,Trials Fusion™,0.96
Magic The Gathering   Duels of the Planeswalkers,Magic: The Gathering - Duels of the Planeswalkers 2013,0.92
Nobunaga s Ambition Souzou with Power Up Kit,,0.0
Europa Universalis IV Conquest of Paradise,Europa Universalis III Complete,0.71
Blood Bowl Legendary Edition,Blood Bowl - Legendary Edition,0.97
Divinity II Developer s Cut,Divinity II: Developer's Cut,0.95
Game of Thrones ,Game of Thrones,0.97
RAW   Realms of Ancient War,R.A.W. Realms of Ancient War,0.91
DARK SOULS II,DARK SOULS™ II,0.96
Ace of Spades,Queen of Spades,0.79
Serious Sam HD The Second Encounter,Serious Sam VR: The Second Encounter,0.93
War of the Roses,Way of the Red,0.8
AirMech,AirMech Strike,0.67
TDP4Team Battle,TDP4:Team Battle,0.97
Codename Gordon,Codename Ghost Hunt,0.71
Portal 2 Sixense Perceptual Pack,,0.0
Haunted Memories,Painted Memories,0.88
Dethroned ,Tethered,0.67
Blood of Old,Blood Code,0.73
DARK SOULS II   Season Pass,DARK SOULS™ II,0.63
DARK SOULS II Crown of the Old Iron King,DARK SOULS™ II: Scholar of the First Sin,0.65
Ravensword Shadowlands,Ravensword: Shadowlands,0.98
Tom Clancy s Rainbow Six 3 Gold Edition,Tom Clancy's Rainbow Six® 3 Gold,0.85
Rome Total War,Rome: Total War™ - Alexander,0.67
Rome Total War   Alexander,Rome: Total War™ - Alexander,0.93
Tom Clancy s Rainbow Six 3 Athena Sword,Tom Clancy's Rainbow Six® 3 Gold,0.79
Football Manager 2012,Football Manager 2019,0.95
Football Manager 2015,Football Manager 2019,0.95
F1 2012,F1 2012™,0.93
The Stomping Land,The Promised Land,0.71
Urizen Shadows of the Cold,Urizen Shadows of the Cold Deluxe Frosty Edition,0.7
Shoot Many Robots,So Many Cubes,0.67
Dragon Age Origins,Dragon Age: Origins,0.97
Borderlands The Pre Sequel,Borderlands: The Pre-Sequel,0.94
PAYDAY Wolf Pack,,0.0
Sid Meier s Civilization V Scrambled Continents Map Pack,Sid Meier's Civilization IV: Colonization,0.66
Prince of Persia The Forgotten Sands,Prince of Persia: The Forgotten Sands™,0.97
Prince of Persia The Sands of Time,Prince of Persia®: The Sands of Time,0.97
Total War Battles KINGDOM,Total War Battles: KINGDOM,0.98
Eden Star  Destroy   Build   Protect,,0.0
Mitos is The Game,Mitos.is: The Game,0.91
Offworld Trading Company,Offworld Trading Company - Free Multiplayer,0.72
War of the Roses Kingmaker,War of Three Kingdoms,0.68
War of the Roses Balance Beta,,0.0
Football Manager 2014,Football Manager 2019,0.95
Football Manager 2016,Football Manager 2019,0.95
Football Manager 2009,Football Manager 2019,0.95
Frozen Free Fall Snowball Fight,Front Office Football Eight,0.62
Test Drive Unlimited 2,Quests Unlimited,0.68
Stronghold 2,Stronghold HD,0.88
Stronghold Crusader Extreme HD,Stronghold Crusader HD,0.85
Stronghold Legends,Stronghold Kingdoms,0.76
Tom Clancy s Ghost Recon Phantoms   NA Recon Starter Pack,Tom Clancy's Ghost Recon: Future Soldier™,0.61
FINAL FANTASY XI,FINAL FANTASY VI,0.94
Tom Clancy s Rainbow Six Siege,Tom Clancy's Rainbow Six® Siege,0.95
Zombie Panic Source,Zombie Panic! Source,0.97
Takedown Red Sabre,Takedown: Red Sabre,0.97
Tom Clancy s Splinter Cell Blacklist,Tom Clancy’s Splinter Cell Blacklist,0.97
ACE   Arena Cyber Evolution,Hacker Evolution,0.6
RACE 07   Formula RaceRoom Add On,,0.0
Tom Clancy s Ghost Recon Phantoms   EU Support Starter Pack,Tom Clancy's Ghost Recon® Desert Siege™,0.61
Tom Clancy s Rainbow Six Vegas,Tom Clancy's Rainbow Six® Vegas,0.95
EverQuest Secrets of Faydwer,,0.0
EverQuest Seeds of Destruction,Rules of Destruction,0.68
Shovel Knight,Silver Knight,0.77
Oceanhorn Monster of Uncharted Seas,Oceanhorn: Monster of Uncharted Seas,0.99
Styx Master of Shadows,Styx: Master of Shadows,0.98
Broken Sword 2   the Smoking Mirror Remastered,Broken Sword 2 - the Smoking Mirror: Remastered,0.97
Broken Sword 1   Shadow of the Templars Director s Cut,Broken Sword: Director's Cut,0.63
Chantelise,Changeling,0.7
Fortune Summoners Secret of the Elemental Stone,,0.0
Nexuiz Beta,Nexuiz,0.71
Nexuiz STUPID Mode,,0.0
BookWorm Deluxe,BoomTown! Deluxe,0.71
Unturned   Permanent Gold Upgrade,,0.0
Rayman Legends,Road Legends,0.77
Guild Wars,Build Wars,0.9
PixelJunk Eden,PixelJunk™ Eden,0.97
Evolve,Evolva,0.83
Blood Omen 2 Legacy of Kain,,0.0
Darksiders II Soundtrack,Darksiders III,0.68
Darksiders Soundtrack,Darksiders III,0.63
Guild Wars Trilogy,Build Wars,0.64
Killing Floor Uncovered,Killing Floor 2,0.74
Legacy of Kain Defiance,Legacy of Kain: Defiance,0.98
Legacy of Kain Soul Reaver,Legacy of Kain: Soul Reaver,0.98
Legacy of Kain Soul Reaver 2,Legacy of Kain: Soul Reaver 2,0.98
The Witcher 3 Wild Hunt   New Finisher Animations,The Witcher® 3: Wild Hunt,0.62
Poker Night 2,Counter Fight 3,0.64
Rabbit Hole 3D Steam Edition,Rabbit Hole 3D: Steam Edition,0.98
Assassins Creed Unity,Assassin's Creed® Unity,0.95
FATE The Traitor Soul,FATE: The Traitor Soul,0.98
Assassins Creed Chronicles China,Assassin’s Creed® Chronicles: China,0.96
Serious Sam HD The First Encounter,Serious Sam HD: The First Encounter,0.99
Serious Sam The Random Encounter,Serious Sam: The Random Encounter,0.98
Serious Sam Classic The First Encounter,Serious Sam VR: The First Encounter,0.86
Serious Sam Classic The Second Encounter,Serious Sam VR: The Second Encounter,0.87
Serious Sam Classics Revolution,Serious Sam Classics: Revolution,0.98
Terra Incognita   Chapter One The Descendant,Terra Incognita ~ Chapter One: The Descendant,0.97
Microsoft Flight Simulator X Steam Edition,Microsoft Flight Simulator X: Steam Edition,0.99
Nancy Drew Shadow at the Water s Edge,Nancy Drew®: Shadow at the Water's Edge,0.95
Nancy Drew Ransom of the Seven Ships ,Nancy Drew®: Ransom of the Seven Ships,0.96
Nancy Drew Tomb of the Lost Queen,Nancy Drew®: Tomb of the Lost Queen,0.97
Nancy Drew Warnings at Waverly Academy,Nancy Drew®: Warnings at Waverly Academy,0.97
Nancy Drew Danger on Deception Island ,Nancy Drew®: Danger on Deception Island,0.96
Nancy Drew Last Train to Blue Moon Canyon,Nancy Drew®: Last Train to Blue Moon Canyon,0.98
Duke Nukem 3D Megaton Edition,,0.0
Temper Tantrum,Imperatum,0.7
Space Rangers HD A War Apart,Space Rangers HD: A War Apart,0.98
Sniper Elite Nazi Zombie Army 2,Sniper Elite: Nazi Zombie Army,0.95
Minimum,Minimon,0.71
Hacker Evolution   Untold,Hacker Evolution: Untold,0.94
Talisman Digital Edition,Talisman: Digital Edition,0.98
The Showdown Effect,The Shadowland,0.61
Sniper Elite Nazi Zombie Army,Sniper Elite: Nazi Zombie Army,0.98
FlatOut 2,FlatOut 2™,0.95
Disciples III Resurrection,Disciples III - Resurrection,0.96
Rig  n  Roll,Rig n Roll,0.91
Asteroids Outpost,Asteroid Hideout,0.67
Trainz Simulator 12,Trainz™ Simulator 12,0.97
Disciples II Rise of the Elves,Disciples II: Rise of the Elves ,0.97
Eufloria,Eufloria HD,0.84
12 Labours of Hercules II The Cretan Bull,12 Labours of Hercules II: The Cretan Bull,0.99
Absconding Zatwor,,0.0
ACE COMBAT ASSAULT HORIZON Enhanced Edition,,0.0
Alien Breed Impact,Alien Breed: Impact,0.97
Call of Cthulhu Dark Corners of the Earth,Call of Cthulhu: Prisoner of Ice,0.71
Combat Wings Battle of Britain,Combat Wings: Battle of Britain,0.98
Deadly Profits,Deadly Tropics,0.79
Demolition  Inc ,Demolition Inc.,0.9
DiRT,DiRT 4,0.8
Disciples II Gallean s Return,Disciples II: Gallean's Return,0.95
Eufloria HD Original Soundtrack,,0.0
Frankenstein Master of Death,Frankenstein: Master of Death,0.98
FUEL,DUEL,0.75
Greyfox,Greyfox RPG,0.78
Lilly and Sasha Curse of the Immortals,Blight of the Immortals,0.62
Marble Mayhem Fragile Ball,Marble Mayhem: Fragile Ball,0.98
Painkiller Hell   Damnation Beta,Painkiller Hell & Damnation,0.88
Quake 4,Quake IV,0.8
Saviors,Stairs,0.77
Sometimes Success Requires Sacrifice,Sometimes: Success Requires Sacrifice,0.99
Star Chronicles Delta Quadrant,Star Chronicles: Delta Quadrant,0.98
Strong Bad Episode 1 Homestar Ruiner,,0.0
Strong Bad Episode 2 Strong Badia the Free,,0.0
Strong Bad Episode 3 Baddest of the Bands,,0.0
Strong Bad Episode 4 Dangeresque 3,,0.0
Strong Bad Episode 5 8 Bit Is Enough,,0.0
Sun Blast,Slug Blast,0.84
TeraBlaster,Kero Blaster,0.78
The First Templar,The First Tree,0.77
The Fish Fillets 2,Fish Fillets 2,0.88
The Hat Man Shadow Ward,The Shadowland,0.65
The Political Machine,The Political Machine 2016,0.89
The Slaughtering Grounds,The Hunting God,0.67
ToCA Race Driver 3,SHOFER Race Driver,0.67
